cycle,time_ns,in0_spk,in1_spk,n0_spk,n1_spk,n0_v_real,n1_v_real
463,4735.000000,0,0,0,0,0.000000,0.000000
464,4745.000000,0,1,0,0,0.000000,0.000000
465,4755.000000,0,0,0,0,0.219238,0.218262
466,4765.000000,0,0,0,0,0.412109,0.411133
467,4775.000000,0,0,0,0,0.580811,0.944824
468,4785.000000,0,0,0,1,0.727783,0.000000
469,4795.000000,0,0,0,0,0.855225,0.000000
470,4805.000000,0,0,1,0,0.000000,0.000000
471,4815.000000,0,0,0,0,0.000000,0.000000
472,4825.000000,0,1,0,0,0.000000,0.000000
473,4835.000000,0,0,0,0,0.000000,0.336182
474,4845.000000,0,0,0,0,0.000000,0.632080
475,4855.000000,0,0,0,1,0.155029,0.000000
476,4865.000000,0,1,0,0,0.291260,0.000000
477,4875.000000,0,0,0,0,0.410645,0.000000
478,4885.000000,0,0,0,0,0.604248,0.000000
479,4895.000000,0,0,0,0,0.773193,0.000000
480,4905.000000,0,0,0,0,0.919922,0.753418
481,4915.000000,0,0,1,1,0.000000,0.000000
482,4925.000000,0,0,0,0,0.000000,0.000000
483,4935.000000,0,0,0,0,0.000000,0.000000
484,4945.000000,0,0,0,0,0.000000,0.000000
485,4955.000000,0,0,0,0,0.000000,0.000000
486,4965.000000,0,0,0,0,0.171387,0.456787
487,4975.000000,0,0,0,0,0.321777,0.858643
488,4985.000000,0,0,0,1,0.453613,0.000000
489,4995.000000,0,0,0,0,0.568359,0.000000
490,5005.000000,0,0,0,0,0.667725,0.000000
491,5015.000000,0,0,0,0,0.753174,0.000000
492,5025.000000,0,0,0,0,0.826172,0.000000
493,5035.000000,0,0,0,0,0.887939,0.254639
494,5045.000000,0,0,0,0,0.939453,0.478516
495,5055.000000,0,0,0,0,0.981689,0.674561
496,5065.000000,0,0,1,0,0.000000,0.845459
497,5075.000000,0,0,0,0,0.000000,0.993652
498,5085.000000,0,0,0,1,0.000000,0.000000
499,5095.000000,0,0,0,0,0.000000,0.000000
500,5105.000000,0,0,0,0,0.000000,0.000000
501,5115.000000,0,0,0,0,0.047607,0.000000
502,5125.000000,0,0,0,0,0.089355,0.000000
503,5135.000000,0,0,0,0,0.125732,0.109863
504,5145.000000,0,0,0,0,0.157227,0.206055
505,5155.000000,0,0,0,0,0.184326,0.290283
506,5165.000000,0,0,0,0,0.207520,0.363525
507,5175.000000,0,0,0,0,0.227051,0.427002
508,5185.000000,0,0,0,0,0.243408,0.481445
509,5195.000000,0,0,0,0,0.257080,0.528076
510,5205.000000,1,1,0,0,0.268066,0.567383
511,5215.000000,1,1,0,0,0.276855,0.600098
512,5225.000000,0,0,0,0,0.283447,0.626953
513,5235.000000,0,0,0,1,0.606934,0.000000
514,5245.000000,0,0,1,0,0.000000,0.000000
515,5255.000000,0,0,0,0,0.000000,0.000000
516,5265.000000,0,0,0,0,0.000000,0.000000
517,5275.000000,0,0,0,0,0.000000,0.000000
518,5285.000000,0,0,0,0,0.000000,0.458252
519,5295.000000,0,0,0,0,0.551758,0.796387
520,5305.000000,0,0,1,1,0.000000,0.000000
521,5315.000000,0,0,0,0,0.000000,0.000000
522,5325.000000,0,0,0,0,0.000000,0.000000
523,5335.000000,0,0,0,0,0.000000,0.000000
524,5345.000000,0,0,0,0,0.000000,0.000000
