cycle,time_ns,i_in_real,v_mem_real,exp_vmem_real,exp_vmem_pre_real,spike,exp_spike,exc_delayed_real,inh_delayed_real
267,2715.000000,0.000000,0.650635,0.650635,0.650635,0,0,0.000000,0.000000
268,2725.000000,0.000000,0.624512,0.624512,0.624512,0,0,0.000000,0.000000
269,2735.000000,0.000000,0.599365,0.599365,0.599365,0,0,0.000000,0.000000
270,2745.000000,0.000000,0.575195,0.575195,0.575195,0,0,0.000000,0.000000
271,2755.000000,0.000000,0.552002,0.552002,0.552002,0,0,0.000000,0.000000
272,2765.000000,0.000000,0.529785,0.529785,0.529785,0,0,0.000000,0.000000
273,2775.000000,0.000000,0.508545,0.508545,0.508545,0,0,0.000000,0.000000
274,2785.000000,0.000000,0.488037,0.488037,0.488037,0,0,0.000000,0.000000
275,2795.000000,0.000000,0.468262,0.468262,0.468262,0,0,0.000000,0.000000
276,2805.000000,0.000000,0.449463,0.449463,0.449463,0,0,0.000000,0.000000
277,2815.000000,0.000000,0.431396,0.431396,0.431396,0,0,0.000000,0.000000
278,2825.000000,0.000000,0.414062,0.414062,0.414062,0,0,0.000000,0.000000
279,2835.000000,0.000000,0.397461,0.397461,0.397461,0,0,0.000000,0.000000
280,2845.000000,0.000000,0.381348,0.381348,0.381348,0,0,0.000000,0.000000
281,2855.000000,0.000000,0.365967,0.365967,0.365967,0,0,0.000000,0.000000
282,2865.000000,0.000000,0.351074,0.351074,0.351074,0,0,0.000000,0.000000
283,2875.000000,0.000000,0.336914,0.336914,0.336914,0,0,0.000000,0.000000
284,2885.000000,0.000000,0.323242,0.323242,0.323242,0,0,0.000000,0.000000
285,2895.000000,0.000000,0.310059,0.310059,0.310059,0,0,0.000000,0.000000
286,2905.000000,0.000000,0.297607,0.297607,0.297607,0,0,0.000000,0.000000
287,2915.000000,0.000000,0.285645,0.285645,0.285645,0,0,0.000000,0.000000
288,2925.000000,0.000000,0.274170,0.274170,0.274170,0,0,0.000000,0.000000
289,2935.000000,0.000000,0.263184,0.263184,0.263184,0,0,0.000000,0.000000
290,2945.000000,0.000000,0.252441,0.252441,0.252441,0,0,0.000000,0.000000
291,2955.000000,0.000000,0.242188,0.242188,0.242188,0,0,0.000000,0.000000
292,2965.000000,0.000000,0.232422,0.232422,0.232422,0,0,0.000000,0.000000
293,2975.000000,0.000000,0.222900,0.222900,0.222900,0,0,0.000000,0.000000
294,2985.000000,0.000000,0.213867,0.213867,0.213867,0,0,0.000000,0.000000
295,2995.000000,0.000000,0.205078,0.205078,0.205078,0,0,0.000000,0.000000
296,3005.000000,0.000000,0.196777,0.196777,0.196777,0,0,0.000000,0.000000
297,3015.000000,0.000000,0.188721,0.188721,0.188721,0,0,0.000000,0.000000
298,3025.000000,0.000000,0.181152,0.181152,0.181152,0,0,0.000000,0.000000
299,3035.000000,0.000000,0.173828,0.173828,0.173828,0,0,0.000000,0.000000
300,3045.000000,-0.250000,0.166748,0.166748,0.166748,0,0,0.000000,0.250000
301,3055.000000,0.199951,-0.090088,-0.090088,-0.090088,0,0,0.449951,0.250000
302,3065.000000,0.449951,0.113281,0.113281,0.113281,0,0,0.449951,0.000000
303,3075.000000,0.449951,0.558594,0.558594,0.558594,0,0,0.449951,0.000000
304,3085.000000,0.000000,0.986084,0.986084,0.986084,0,0,0.000000,0.000000
305,3095.000000,0.000000,0.946533,0.946533,0.946533,0,0,0.000000,0.000000
306,3105.000000,0.000000,0.908447,0.908447,0.908447,0,0,0.000000,0.000000
307,3115.000000,0.000000,0.872070,0.872070,0.872070,0,0,0.000000,0.000000
308,3125.000000,0.000000,0.836914,0.836914,0.836914,0,0,0.000000,0.000000
309,3135.000000,0.000000,0.803223,0.803223,0.803223,0,0,0.000000,0.000000
310,3145.000000,0.000000,0.770996,0.770996,0.770996,0,0,0.000000,0.000000
311,3155.000000,-0.250000,0.739990,0.739990,0.739990,0,0,0.000000,0.250000
312,3165.000000,0.449951,0.460205,0.460205,0.460205,0,0,0.449951,0.000000
313,3175.000000,0.449951,0.891602,0.891602,0.891602,0,0,0.449951,0.000000
314,3185.000000,0.000000,0.000000,0.000000,1.305664,1,1,0.000000,0.000000
315,3195.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
316,3205.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
317,3215.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
318,3225.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
319,3235.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
320,3245.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
321,3255.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
322,3265.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
323,3275.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
324,3285.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
