cycle,time_ns,scene,in0_spk,in1_spk,n0_spk,n1_spk,n0_v_real,n1_v_real,n0_i_real,n1_i_real,n0_g_exc_real,n1_g_exc_real
178,1780.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
179,1790.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
180,1800.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
181,1810.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
182,1820.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
183,1830.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
184,1840.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
185,1850.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
186,1860.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
187,1870.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
188,1880.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
189,1890.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
190,1900.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
191,1910.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
192,1920.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
193,1930.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
194,1940.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
195,1950.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
196,1960.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
197,1970.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
198,1980.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
199,1990.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
200,2000.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
201,2010.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
202,2020.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
203,2030.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
204,2040.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
205,2050.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
206,2060.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
207,2070.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
208,2080.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
209,2090.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
210,2100.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
211,2110.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
212,2120.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
213,2130.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
214,2140.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
215,2150.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
216,2160.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
217,2170.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
218,2180.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
219,2190.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
220,2200.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
221,2210.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
222,2220.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
223,2230.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
224,2240.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
225,2250.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
226,2260.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
227,2270.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
228,2280.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
229,2290.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
230,2300.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
231,2310.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
232,2320.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
233,2330.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
234,2340.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
235,2350.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
236,2360.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
237,2370.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
238,2380.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
239,2390.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
240,2400.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.981934,-0.412842,0.000000,0.000000
